epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,23.221,0.65728,0.68706,0.90266,0.98279,1,0.995,0.65007,1.32907,1.00024,1.22956,0.0018902,0.0018902,0.0018902
124,23.399,0.66131,0.63755,0.88038,0.98279,1,0.995,0.65007,1.32907,1.00024,1.22956,0.0018893,0.0018893,0.0018893
125,23.5768,0.59023,0.60427,0.9005,0.98279,1,0.995,0.65007,1.32907,1.00024,1.22956,0.0018884,0.0018884,0.0018884
126,23.7624,0.66103,0.65236,0.85877,0.98471,1,0.995,0.61811,1.37194,0.92579,1.26337,0.0018875,0.0018875,0.0018875
127,23.9431,0.60899,0.60511,0.84054,0.98471,1,0.995,0.61811,1.37194,0.92579,1.26337,0.0018866,0.0018866,0.0018866
128,24.1952,0.6397,0.60981,0.86195,0.98471,1,0.995,0.61811,1.37194,0.92579,1.26337,0.0018857,0.0018857,0.0018857
129,24.3808,0.67136,0.64289,0.88178,0.9887,1,0.995,0.56397,1.40621,0.89944,1.22259,0.0018848,0.0018848,0.0018848
130,24.556,0.62605,0.66443,0.87603,0.9887,1,0.995,0.56397,1.40621,0.89944,1.22259,0.0018839,0.0018839,0.0018839
131,24.7348,0.62181,0.5965,0.87351,0.9887,1,0.995,0.56397,1.40621,0.89944,1.22259,0.001883,0.001883,0.001883
132,24.9195,0.63017,0.57809,0.88292,0.99499,1,0.995,0.50649,1.58584,0.92879,1.37731,0.0018821,0.0018821,0.0018821
133,25.0961,0.60641,0.5704,0.87256,0.99499,1,0.995,0.50649,1.58584,0.92879,1.37731,0.0018812,0.0018812,0.0018812
134,25.2739,0.58457,0.59232,0.87942,0.99499,1,0.995,0.50649,1.58584,0.92879,1.37731,0.0018803,0.0018803,0.0018803
135,25.459,0.63502,0.58808,0.87885,0.97096,1,0.995,0.48868,1.63222,0.90215,1.53735,0.0018794,0.0018794,0.0018794
136,25.6349,0.65478,0.67204,0.93687,0.97096,1,0.995,0.48868,1.63222,0.90215,1.53735,0.0018785,0.0018785,0.0018785
137,25.8164,0.67669,0.65999,0.91994,0.97096,1,0.995,0.48868,1.63222,0.90215,1.53735,0.0018776,0.0018776,0.0018776
138,26.0016,0.56756,0.60542,0.82748,1,0.99048,0.995,0.5025,1.52699,0.92309,1.35367,0.0018767,0.0018767,0.0018767
139,26.1841,0.67167,0.64789,0.87863,1,0.99048,0.995,0.5025,1.52699,0.92309,1.35367,0.0018758,0.0018758,0.0018758
140,26.3637,0.63831,0.62286,0.88471,1,0.99048,0.995,0.5025,1.52699,0.92309,1.35367,0.0018749,0.0018749,0.0018749
141,26.6342,0.66083,0.61669,0.8604,1,0.98962,0.995,0.55596,1.57187,0.90197,1.49525,0.001874,0.001874,0.001874
142,26.8231,0.61682,0.62824,0.85164,1,0.98962,0.995,0.55596,1.57187,0.90197,1.49525,0.0018731,0.0018731,0.0018731
143,26.9999,0.66097,0.63483,0.89872,1,0.98962,0.995,0.55596,1.57187,0.90197,1.49525,0.0018722,0.0018722,0.0018722
144,27.1829,0.66638,0.7069,0.934,0.99261,1,0.995,0.54466,1.49757,0.88872,1.37487,0.0018713,0.0018713,0.0018713
145,27.3582,0.67102,0.58156,0.92489,0.99261,1,0.995,0.54466,1.49757,0.88872,1.37487,0.0018704,0.0018704,0.0018704
146,27.5384,0.61122,0.57322,0.89192,0.99261,1,0.995,0.54466,1.49757,0.88872,1.37487,0.0018695,0.0018695,0.0018695
147,27.7221,0.65266,0.59254,0.87188,0.9922,1,0.995,0.53778,1.494,0.82808,1.40574,0.0018686,0.0018686,0.0018686
148,27.8991,0.61433,0.55911,0.86889,0.9922,1,0.995,0.53778,1.494,0.82808,1.40574,0.0018677,0.0018677,0.0018677
149,28.0748,0.56608,0.60423,0.86473,0.9922,1,0.995,0.53778,1.494,0.82808,1.40574,0.0018668,0.0018668,0.0018668
150,28.2634,0.63188,0.55257,0.86658,0.99266,1,0.995,0.50075,1.43401,0.89104,1.27737,0.0018659,0.0018659,0.0018659
151,28.4437,0.61524,0.55772,0.86172,0.99266,1,0.995,0.50075,1.43401,0.89104,1.27737,0.001865,0.001865,0.001865
152,28.622,0.5443,0.51128,0.86912,0.99266,1,0.995,0.50075,1.43401,0.89104,1.27737,0.0018641,0.0018641,0.0018641
153,28.8832,0.62281,0.54811,0.89856,0.91041,1,0.9875,0.50484,1.48396,0.84641,1.33057,0.0018632,0.0018632,0.0018632
154,29.0613,0.64326,0.56169,0.88255,0.91041,1,0.9875,0.50484,1.48396,0.84641,1.33057,0.0018623,0.0018623,0.0018623
155,29.2393,0.67566,0.61276,0.8907,0.91041,1,0.9875,0.50484,1.48396,0.84641,1.33057,0.0018614,0.0018614,0.0018614
156,29.4224,0.56282,0.51996,0.83972,0.99257,1,0.995,0.53668,1.42138,0.82982,1.29064,0.0018605,0.0018605,0.0018605
157,29.5994,0.58068,0.5626,0.88133,0.99257,1,0.995,0.53668,1.42138,0.82982,1.29064,0.0018596,0.0018596,0.0018596
158,29.7775,0.57549,0.55359,0.8808,0.99257,1,0.995,0.53668,1.42138,0.82982,1.29064,0.0018587,0.0018587,0.0018587
159,29.9647,0.56528,0.53531,0.82961,0.99174,1,0.995,0.60806,1.42511,0.79969,1.24988,0.0018578,0.0018578,0.0018578
160,30.1405,0.61553,0.55788,0.85832,0.99174,1,0.995,0.60806,1.42511,0.79969,1.24988,0.0018569,0.0018569,0.0018569
161,30.3156,0.61759,0.57969,0.9121,0.99174,1,0.995,0.60806,1.42511,0.79969,1.24988,0.001856,0.001856,0.001856
162,30.5032,0.58696,0.53525,0.87673,0.99423,1,0.995,0.63724,1.36405,0.75847,1.22011,0.0018551,0.0018551,0.0018551
163,30.6814,0.55545,0.52611,0.85851,0.99423,1,0.995,0.63724,1.36405,0.75847,1.22011,0.0018542,0.0018542,0.0018542
164,30.8618,0.52934,0.5481,0.89366,0.99423,1,0.995,0.63724,1.36405,0.75847,1.22011,0.0018533,0.0018533,0.0018533
165,31.0571,0.60757,0.54047,0.83592,0.99489,1,0.995,0.6433,1.31869,0.74286,1.2113,0.0018524,0.0018524,0.0018524
166,31.3032,0.63372,0.56205,0.90477,0.99489,1,0.995,0.6433,1.31869,0.74286,1.2113,0.0018515,0.0018515,0.0018515
167,31.4829,0.57786,0.53953,0.87218,0.99489,1,0.995,0.6433,1.31869,0.74286,1.2113,0.0018506,0.0018506,0.0018506
168,31.6689,0.58915,0.51716,0.8471,0.90786,1,0.965,0.62334,1.26173,0.85101,1.13009,0.0018497,0.0018497,0.0018497
169,31.8489,0.55157,0.53593,0.8667,0.90786,1,0.965,0.62334,1.26173,0.85101,1.13009,0.0018488,0.0018488,0.0018488
170,32.0293,0.54232,0.50582,0.84845,0.90786,1,0.965,0.62334,1.26173,0.85101,1.13009,0.0018479,0.0018479,0.0018479
171,32.2175,0.59229,0.5423,0.87907,0.90619,1,0.9875,0.56618,1.38629,0.89191,1.1471,0.001847,0.001847,0.001847
172,32.3965,0.66104,0.53755,0.88056,0.90619,1,0.9875,0.56618,1.38629,0.89191,1.1471,0.0018461,0.0018461,0.0018461
173,32.5776,0.61137,0.5532,0.86707,0.90619,1,0.9875,0.56618,1.38629,0.89191,1.1471,0.0018452,0.0018452,0.0018452
174,32.7666,0.64409,0.5073,0.85244,0.98371,1,0.995,0.56826,1.37047,0.86693,1.17269,0.0018443,0.0018443,0.0018443
175,32.9443,0.55117,0.51902,0.85286,0.98371,1,0.995,0.56826,1.37047,0.86693,1.17269,0.0018434,0.0018434,0.0018434
176,33.1222,0.59527,0.532,0.89081,0.98371,1,0.995,0.56826,1.37047,0.86693,1.17269,0.0018425,0.0018425,0.0018425
177,33.3056,0.56095,0.50355,0.84865,0.91073,1,0.9875,0.59419,1.3331,0.7662,1.17283,0.0018416,0.0018416,0.0018416
178,33.4823,0.61961,0.51373,0.87402,0.91073,1,0.9875,0.59419,1.3331,0.7662,1.17283,0.0018407,0.0018407,0.0018407
179,33.741,0.63688,0.54254,0.93012,0.91073,1,0.9875,0.59419,1.3331,0.7662,1.17283,0.0018398,0.0018398,0.0018398
180,33.9298,0.65677,0.51573,0.86619,0.91153,1,0.95,0.62228,1.28929,0.71483,1.14363,0.0018389,0.0018389,0.0018389
181,34.109,0.63127,0.53174,0.87581,0.91153,1,0.95,0.62228,1.28929,0.71483,1.14363,0.001838,0.001838,0.001838
182,34.2859,0.66478,0.53207,0.86629,0.91153,1,0.95,0.62228,1.28929,0.71483,1.14363,0.0018371,0.0018371,0.0018371
183,34.4722,0.72198,0.58727,0.90009,0.91076,1,0.9575,0.61425,1.32688,0.70524,1.16949,0.0018362,0.0018362,0.0018362
184,34.6505,0.60246,0.50529,0.85752,0.91076,1,0.9575,0.61425,1.32688,0.70524,1.16949,0.0018353,0.0018353,0.0018353
185,34.8309,0.55512,0.49866,0.89824,0.91076,1,0.9575,0.61425,1.32688,0.70524,1.16949,0.0018344,0.0018344,0.0018344
186,35.0187,0.58072,0.53344,0.87528,0.90883,1,0.965,0.58878,1.42589,0.66476,1.22412,0.0018335,0.0018335,0.0018335
187,35.2048,0.62489,0.57982,0.87717,0.90883,1,0.965,0.58878,1.42589,0.66476,1.22412,0.0018326,0.0018326,0.0018326
188,35.3828,0.62059,0.51743,0.88479,0.90883,1,0.965,0.58878,1.42589,0.66476,1.22412,0.0018317,0.0018317,0.0018317
189,35.5678,0.60997,0.51434,0.88718,0.91151,1,0.9725,0.59573,1.39691,0.6376,1.2457,0.0018308,0.0018308,0.0018308
